chemical_name,smiles,database_id,cas,odor_data,odor_labels_filtered
Acetaldehyde diamyl acetal,CCCCCOC(C)OCCCCC,11,13002-08-9,"Ethereal, green, alcoholic, cognac, somewhat cocoa, vegetable","['vegetable', 'alcoholic', 'ethereal', 'green', 'cocoa', 'cognac']"
Acetaldehyde dibutyl acetal,CCCCOC(C)OCCCC,12,871-22-7,"Somewhat winey & alcoholic, fruity-rum green apple","['apple', 'alcoholic', 'green', 'fruity', 'winey', 'rum']"
Acetaldehyde dihexyl acetal,CCCCCCOC(C)OCCCCCC,13,5405-58-3,"Green, fruity, fermented, apple, herbal","['apple', 'green', 'fruity', 'fermented', 'herbal']"
Acetaldehyde diphenethyl acetal,CC(OCCc1ccccc1)OCCc1ccccc1,14,122-71-4,"Leafy with warm floral, balsamic rosy notes","['rose', 'warm', 'leafy', 'balsamic', 'floral']"
Acetaldehyde dipropyl acetal ,CCCOC(C)OCCC,15,105-82-8,"Fresh earthy, ethereal alcoholic, winey-fruity, green, vegetable","['alcoholic', 'ethereal', 'green', 'earthy', 'fruity', 'fresh', 'vegetable', 'winey']"
Acetaldehyde ethyl 2-methylbutyl acetal,CCOC(C)OCC(C)CC,16,13602-09-0,"Pungent, ethereal, alcoholic, green-nutty, cognac","['alcoholic', 'ethereal', 'green', 'nutty', 'cognac', 'pungent']"
Acetaldehyde ethyl 3-methylbutyl acetal,CCOCCOCCC(C)C,17,13442-90-5,"Pungent, ethereal, alcoholic, green-nutty, cognac","['alcoholic', 'ethereal', 'green', 'nutty', 'cognac', 'pungent']"
Acetaldehyde ethyl amyl acetal,CCCCCOC(C)OCC,18,59184-43-9,"Pungent, ethereal, green, alcoholic, cognac","['alcoholic', 'ethereal', 'green', 'cognac', 'pungent']"
Acetaldehyde ethyl cis-3-hexenyl acetal ,CC/C=C/CCOC(C)OCC,19,28069-74-1,"Green, vegetative, grassy, musty, radish-like with a fruity note","['grassy', 'radish', 'green', 'fruity', 'vegetable', 'musty']"
Acetaldehyde ethyl hexyl acetal,CCCCCCOC(C)OCC,20,54484-73-0,"Ethereal, green, floral, floral earthy, alcoholic, cognac","['alcoholic', 'ethereal', 'green', 'earthy', 'cognac', 'floral']"
Acetaldehyde ethyl isobutyl acetal,CCOC(C)OCC(C)C,21,6986-51-2,"Ethereal, green, alcoholic, cognac, somewhat fermented","['alcoholic', 'ethereal', 'green', 'fermented', 'cognac']"
Acetaldehyde ethyl methyl acetal,CCOC(C)OC,22,10471-14-4,"Pungent, ethereal, alcoholic, green, nutty","['alcoholic', 'ethereal', 'green', 'nutty', 'pungent']"
Acetaldehyde ethyl phenylethyl acetal,CCOC(C)OCCc1ccccc1,23,10/7/2556,"Powerful, leafy, green, nasturtium and hyacinth note","['leafy', 'green']"
Acetaldehyde ethyl propyl acetal,CCCOC(C)OCC,24,20680-10-8,"Pungent, ethereal, alcoholic, green-nutty, cognac","['alcoholic', 'ethereal', 'green', 'nutty', 'cognac', 'pungent']"
Acetaldehyde hexyl isoamyl acetal,CCCCCCOC(C)OCCC(C)C,25,233665-90-2,"Ethereal, green, alcoholic, fruity","['green', 'fruity', 'alcoholic', 'ethereal']"
Acetaldehyde isobutyl isoamyl acetal,CC(C)CCOC(C)OCC(C)C,26,75048-15-6,"Ethereal, alcoholic, green-nutty, cognac","['alcoholic', 'ethereal', 'green', 'nutty', 'cognac']"
Acetaldehyde methylbutyl isoamyl acetal,CCCC(C)OC(C)OCCC(C)C,27,13548-84-0,"Ethereal, alcoholic, green-nutty, cognac","['alcoholic', 'ethereal', 'green', 'nutty', 'cognac']"
Acetaldehyde methylbutyl propyl acetal,CCCOC(C)OC(C)CCC,28,238757-63-6,"Ethereal, green, alcoholic, cognac","['green', 'cognac', 'alcoholic', 'ethereal']"
Acetaldehyde phenethyl propyl acetal,CCCOC(C)OCCc1ccccc1,29,7493-57-4,"Strong, green-floral, leafy odor, green-winey taste","['green', 'leafy', 'floral']"
Acetaldehyde,CC=O,30,75-07-0,"Pungent, breathtaking; in dilution a nutty alcoholic note; enhances citrus","['nutty', 'alcoholic', 'pungent']"
Acetanisole,COc1ccc(C(C)=O)cc1,32,100-06-1,"Sweet, harsh-haylike, floral odor; haylike, chemical taste","['hay', 'floral', 'sweet']"
Acetic acid,CC(=O)O,33,64-19-7,"Pungent, sour, vinegar odor with sour, acid taste","['pungent', 'sour']"
Acetin,CC(=O)OCC(COC(C)=O)OC(C)=O,34,102-76-1,Very weak ethereal-fruity odor;a mild sweet taste; normal use as solvent,"['fruity', 'ethereal']"
Acetoin,CC(=O)C(C)O,36,513-86-0,"Creamy-buttery, yogurt-like odor and flavor","['creamy', 'buttery']"
Acetol,CC(=O)CO,37,116-09-6,Slightly green; Weak sweet somewhat caramellic-winey note,"['green', 'winey', 'caramellic', 'sweet']"
Acetone,CC(C)=O,39,67-64-1,Characteristic solvent odor,['solvent']
Acetonyl acetate,CC(=O)COC(C)=O,40,592-20-1,"Fermented, sour fruity-buttery, caramellic notes","['caramellic', 'sour', 'fruity', 'fermented', 'buttery']"
Acetophenone,CC(=O)c1ccccc1,41,98-86-2,"Sweet, pungent, harsh, cherry-like odor and taste","['cherry', 'pungent', 'sweet']"
Acetosyringone,COc1cc(C(C)=O)cc(OC)c1O,42,2478-38-8,"Weak, sweet, balsamic, vanilla phenolic spicy notes","['spicy', 'vanilla', 'phenolic', 'balsamic', 'sweet']"
Acetovanillone,COc1cc(C(C)=O)ccc1O,43,498-02-2,"Weak sweet, reminiscent of vanillin",['sweet']
Acetoxybutanone,CCC(=O)COC(C)=O,44,4906-24-5,"Creamy. buttery, yoghurt, nutty, fruity, grape, winey","['creamy', 'fruity', 'nutty', 'grape', 'winey', 'buttery']"
Acetoxybutyl acetate,CC(=O)OCCCCOC(C)=O,45,628-67-1,"Ethereal, solventy, pleasant, somewhat sweet fruity","['fruity', 'sweet', 'solvent', 'ethereal']"
Acetoxydihydrotheaspirane,CC(=O)OC1(C)CCCC(C)(C)C12CCC(C)O2,47,57893-27-3,Woody and slightly flowery (See comments); also described as fruity,"['fruity', 'woody', 'floral']"
Acetoxydimethylfuranone,CC(=O)OC1=C(C)OC(C)C1=O,48,4166-20-5,Stong cooked fruit (strawberry) odor; fruity-caramel (furaneol-like) taste,"['fruity', 'strawberry']"
Acetoxyphenylbutanone,CC(=O)CCc1ccc(OC(C)=O)cc1,49,6/3/3572,"Fruity, raspberry, jam-like with vanilla & woody nuance","['fruity', 'vanilla', 'woody']"
Acetyl thymol,CC(=O)Oc1cc(C)ccc1C(C)C,50,528-79-0,"Spicy-herbaceous, thyme, balsamic, smoky; pungent spicy taste","['spicy', 'smoky', 'herbal', 'balsamic']"
Acetylcedrene,CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,52,32388-55-9,Warm precious wood aroma with musky undertones,"['musk', 'warm', 'woody']"
Acetylcyclopentanone,CC(=O)C1CCCC1=O,53,1670-46-8,Ketonic with burnt fruity caramellic notes,"['fruity', 'ketonic', 'caramellic', 'burnt']"
Acetyldihydrothiazine,CC(=O)N1CCC=CS1,54,101417-25-8,"Roasty, popcorn, cereal, nutty; Useful in nut, cereal & meat flavors","['nutty', 'popcorn', 'roasted']"
Acetyldimethylfuran,CC(=O)c1oc(C)cc1C,55,22940-86-9,"Balsamic, Nutty, caramellic, somewhat roasted","['nutty', 'balsamic', 'caramellic', 'roasted']"
Acetyldimethylfuran,CC(=O)c1cc(C)oc1C,56,10599-70-9,"Sweet, nutty, roasted odor, slightly earthy; sweet nutty taste","['earthy', 'nutty', 'sweet', 'roasted']"
Acetyldimethylpyrazine,CC(=O)[n+]1cc(C)nc(C)c1,58,72797-17-2,"Nutty, popcorn, roasted hazelnut","['nutty', 'hazelnut', 'popcorn', 'roasted']"
Acetyldimethylpyrazine,CC(=O)c1ncc(C)nc1C,59,54300-08-2,"Nutty, popcorn, roasted hazelnut","['nutty', 'hazelnut', 'popcorn', 'roasted']"
Acetyldimethylpyrazine,CC(=O)c1cnc(C)c(C)n1,60,54300-10-6,"Roasted, slighty aromatic green, nutty grain","['roasted', 'green', 'nutty', 'aromatic']"
Acetyldimethylthiophene,CC(=O)c1cc(C)sc1C,61,10/1/2530,"Dried hazelnut, nutty notes, Blue-cheese, savory, roasty meaty notes","['roasted', 'meaty', 'nutty', 'savory', 'hazelnut', 'cheesy']"
Acetylethylpyrazine,CCc1nccnc1C(C)=O,62,32974-92-8,"Potato chip, earthy, nutty, popcorn, hazelnut, meaty notes","['meaty', 'earthy', 'nutty', 'hazelnut', 'potato', 'popcorn']"
Acetylethylpyrazine,CCc1cnc(C(C)=O)cn1,63,43108-58-3,"Nutty, cracker, toasted cereal, popcorn","['nutty', 'popcorn']"
Acetylethylpyrazine,CCc1cncc(C(C)=O)n1,64,34413-34-8,"Nutty, popcorn, hazelnut","['nutty', 'hazelnut', 'popcorn']"
Acetylethylthiazole,CC(=O)CCc1nccs1,65,233665-91-3,"Roasted, burnt, nutty","['nutty', 'burnt', 'roasted']"
Acetylindole,CC(=O)n1ccc2ccccc21,67,576-15-8,"Jasmine & orange flower, balsamic notes","['balsamic', 'jasmine']"
Acetylmethylfuran,CC(=O)c1ccc(C)o1,68,1193-79-9,"Nutty, hay, caramel, coumarin odor","['nutty', 'hay', 'caramellic', 'coumarinic']"
Acetylmethylpyrazine,CC(=O)c1nccnc1C,69,23787-80-6,"Nutty, popcorn, hazelnut. cereal, roasted grain, cocoa, coffee, shellfish","['roasted', 'nutty', 'cocoa', 'hazelnut', 'coffee', 'popcorn']"
Acetylmethylpyrimidine,CC(=O)c1ccnc(C)n1,70,67860-38-2,"""Grilled"" note; roasted, animal, meat-like, sweetish, nutty, caramel","['caramellic', 'meaty', 'roasted', 'nutty', 'animal']"
Acetylmethylpyrrole,CC(=O)Cc1ccc[nH]1,71,6982-72-5,"Weak, fruity, with with bitter, earthy, burnt roasted meaty notes","['roasted', 'meaty', 'earthy', 'fruity', 'burnt']"
Acetylpyrazine,CC(=O)c1cnccn1,76,22047-25-2,"Characteristic of popcorn; nutty, bread crust","['nutty', 'bread', 'popcorn']"
Acetylpyridine,CC(=O)c1ccccn1,77,1122-62-9,Popcorn odor; harsh roasted taste,['popcorn']
Acetylpyridine,CC(=O)c1cccnc1,78,350-03-8,"Strong, burnt roasted, nutty, cigar tobacco like","['roasted', 'tobacco', 'nutty', 'burnt']"
Acetylpyrrole,CC(=O)c1ccc[nH]1,80,1072-83-9,"Somewhat cherry (acetophenone) like; musty, nutty and tea-like","['nutty', 'tea', 'cherry', 'musty']"
Acetyltetrahydropyridine,CC(=O)C1=CCCCN1,82,25343-57-1,"Cracker, cereal, popcorn, nutty; effective as meat & savory enhancers","['nutty', 'popcorn']"
Acetylthiazole,CC(=O)c1nccs1,83,24295-03-2,"Nutty, popcorn, bread, toasted cereal notes","['nutty', 'bread', 'popcorn']"
Acetylthiazolidine,CC(=O)C1NCCS1,84,67399-73-9,Meaty & fishy notes; nutty popcorn on dilution,"['nutty', 'fishy', 'popcorn', 'meaty']"
Acetylthiazoline,CC(=O)C1=NCCS1,85,29926-41-8,"Corn chip, green onion, toasted grain, popcorn; important to meat","['green', 'onion', 'popcorn']"
Acetylthiohexyl acetate,CC(=O)OCCCCCCSC(C)=O,86,136954-25-1,"Sulfurous tropical fruit, passion fruit notes","['sulfurous', 'fruity', 'tropical']"
Aconitic acid,O=C(O)/C=C(\CC(=O)O)C(=O)O,88,499-12-7,Pleasant winey-acid taste; practically odorless,['odorless']
Adipic acid,O=C(O)CCCCC(=O)O,89,124-04-9,Pleasant sour taste; odorless,['odorless']
Allo-ocimene,C/C=C(C)/C=C/C=C(C)C,92,673-84-7,"Herbaceous, terpy odor & taste",['herbal']
Allyl ionone,C=CCCC(=O)/C=C/C1C(C)=CCCC1(C)C,93,79-78-7,"Sweet, woody-fruity; berry and pineapple-like","['fruity', 'sweet', 'berry', 'woody', 'pineapple']"
Allyl phenylacetate,C=CCOC(=O)Cc1ccccc1,94,1797-74-6,"Sweet, honey-pineapple like odor and taste","['honey', 'pineapple', 'fruity', 'sweet']"
Allyl acetate,C=CCOC(C)=O,95,591-87-7,"Ethereal, winey, pungent rum, fruity, arak note, ethyl acetate-like","['ethereal', 'fruity', 'anisic', 'winey', 'pungent', 'rum']"
Allyl alcohol,C=CCO,96,107-18-6,Sharp acrylic odor; pungent mustard-like,"['sharp', 'pungent']"
Allyl butanoate,C=CCOC(=O)CCC,98,2051-78-7,"Fruity, green, pineapple-apricot-apple like odor; tropical, apple in taste","['apple', 'apricot', 'green', 'fruity', 'pineapple']"
Allyl cinnamate,C=CCOC(=O)/C=C/c1ccccc1,99,1866-31-5,"Fruity-sweet, peach-apricot, balsamic, somewhat spicy odor and taste","['spicy', 'apricot', 'fruity', 'balsamic', 'peach', 'sweet']"
Allyl butenoate,C=CCOC(=O)/C=C/C,100,20474-93-5,"Pungent, acrylic; fresh fruity on dilution","['fruity', 'fresh', 'pungent']"
Allyl cyclohexaneacetate,C=CCOC(=O)CC1CCCCC1,101,4728-82-9,"Sweet, mixed-fruity odor with a ""tutti-frutti"" flavor","['fruity', 'sweet']"
Allyl cyclohexanebutyrate,C=CCOC(=O)CCCC1CCCCC1,102,7493-65-4,"Sweet-fruity, pineapple odor with a pineapple-like taste","['fruity', 'pineapple', 'sweet']"
Allyl cyclohexanehexanoate,C=CCOC(=O)CCCCCC1CCCCC1,103,7493-66-5,Fatty-fruity odor with a Peach-Apricot like flavor,"['fatty', 'fruity']"
Allyl cyclohexanepropionate,C=CCOC(=O)CCC1CCCCC1,104,2705-87-5,Sweet-fruity pineapple-like odor and taste,"['fruity', 'pineapple', 'sweet']"
Allyl cyclohexanevalerate,C=CCOC(=O)CCCCC1CCCCC1,105,7493-68-7,"Sweet, mixed-fruity odor; waxy pineapple-apricot-apple taste","['fruity', 'sweet']"
Allyl ethyl ether,C=CCOCC,106,557-31-3,Sharp ethereal,"['sharp', 'ethereal']"
Allyl ethylbutyrate,C=CCOC(=O)C(CC)CC,107,7493-69-8,"Oily-fruity odor with a sweet, fruity, oily-nut taste","['oily', 'fruity']"
Allyl furoate,C=CCOC(=O)c1ccco1,108,4208-49-5,"Caramellic, fruity, coffee odor; pineapple, strawberry taste","['fruity', 'caramellic', 'coffee']"
Allyl heptanoate,C=CCOC(=O)CCCCCC,109,142-19-8,"Sweet, fruity, banana-pineapple-apple odor; Brandy-peach-pineapple taste","['apple', 'fruity', 'banana', 'pineapple', 'sweet']"
Allyl hexanoate,C=CCOC(=O)CCCCC,110,123-68-2,"Fatty, fruity, winey-pineapple like odor and taste","['fatty', 'fruity', 'winey', 'pineapple']"
Allyl isothiocyanate,C=CCN=C=S,111,57-06-7,"Very, pungent, stinging, powerful, mustard like odor & taste",['pungent']
Allyl isovalerate,C=CCOC(=O)CC(C)C,112,2835-39-4,"Powerful, winey-fruity, overripe apple, berry-cherry-like odor/taste","['apple', 'cherry', 'fruity', 'berry', 'winey']"
Allyl mercaptan,C=CCS,113,870-23-5,"Pungent, strong leek and onion-like, sweet odor and taste","['onion', 'pungent', 'sweet']"
Allyl methyl disulfide,C=CCSSC,114,2179-58-0,"Powerful, sulfurous odor; cooked garlic-onion notes","['onion', 'sulfurous', 'garlic']"
Allyl methyl sulfide,C=CCSC,115,10152-76-8,"Sulfurous, Garlic, onion notes","['onion', 'sulfurous', 'garlic']"
Allyl methyl tetrasulfide,C=CCSSSSC,116,90195-83-8,"Pungent, sulfurous, cooked onion-garlic","['onion', 'sulfurous', 'pungent', 'garlic']"
Allyl methyl trisulfide,C=CCSSSC,117,34135-85-8,Powerful onion-garlic odor and taste,"['onion', 'garlic']"
Allyl nonanoate,C=CCOC(=O)CCCCCCCC,118,7493-72-3,"Fatty, fruity, winey, cognac-like with pineapple-nutty notes","['fatty', 'fruity', 'nutty', 'cognac', 'pineapple', 'winey']"
Allyl octanoate,C=CCOC(=O)CCCCCCC,119,4230-97-1,"Fatty, fruity, pineapple, winey with apple-banana notes","['apple', 'fatty', 'fruity', 'banana', 'pineapple', 'winey']"
Allyl pentanoate,C=CCOC(=O)CCCC,120,6321-45-5,"Fruity, apple, fermented winey, pineapple","['apple', 'fruity', 'fermented', 'pineapple', 'winey']"
Allyl phenoxyacetate,C=CCOC(=O)COc1ccccc1,121,7493-74-5,"Sweet, fruity, honey-pineapple like odor and taste","['honey', 'fruity', 'pineapple', 'sweet']"
Allyl propenyl disulfide,C=CCSSC=CC,122,33368-82-0,"Cooked onion, garlic","['onion', 'garlic']"
Allyl propionate,C=CCOC(=O)CC,123,2408-20-0,"Pungent, sour-fruity; tropical, apple-apricot-pear aroma & taste","['apple', 'sour', 'apricot', 'fruity', 'tropical', 'pear', 'pungent']"
Allyl propyl disulphide,C=CCSSCCC,124,2179-59-1,"Alliaceous, characteristic garlic-onion, cooked savory notes","['onion', 'alliaceous', 'garlic', 'savory']"
Allyl propyl sulfide,C=CCSCCC,125,27817-67-0,"Sulfurous, alliaceous, onion-garlic","['onion', 'sulfurous', 'alliaceous', 'garlic']"
Allyl propyl trisulfide,C=CCSSSCCC,126,33922-73-5,Powerful pungent onion-garlic odor and taste,"['onion', 'garlic', 'pungent']"
Allyl sorbate,C=CCOC(=O)/C=C/C=C/C,127,7493-75-6,"Sweet, sharp, pineapple-melon, fruity odor & taste","['fruity', 'sharp', 'melon', 'pineapple', 'sweet']"
Allyl sulfide,C=CCSCC=C,128,592-88-1,"Sweet, pungent, garlic-horseradish like","['garlic', 'pungent', 'sweet', 'horseradish']"
Allyl thiopropionate,C=CCSC(=O)CC,129,41820-22-8,"Sweet, fresh alliaceous (onion-garlic) odor & taste","['alliaceous', 'garlic', 'onion', 'fresh', 'sweet']"
Allyl tiglate,C=CCOC(=O)/C(C)=C/C,130,7493-71-2,"Sweet, green-herbaceous, earthy, fruity berry odor and taste","['green', 'earthy', 'fruity', 'berry', 'herbal', 'sweet']"
Allyl undecenoate,C=CCCCCCCCCC(=O)OCC=C,131,7493-76-7,"Sweet, fatty, coconut-pineapple like, nutty note","['fatty', 'nutty', 'coconut', 'pineapple', 'sweet']"
Allyldimethoxyphenol,C=CCc1cc(OC)c(O)c(OC)c1,132,6627-88-9,"Spicy, burnt smoky phenolic note; smoked meat note","['spicy', 'meaty', 'burnt', 'phenolic', 'smoky']"
Ambrettolide,O=C1CCCCC=CCCCCCCCCCO1,133,7779-50-2,"Rich strong musk-like, some slight berry notes","['musk', 'berry']"
Ambrinol,CC1(O)CCC2C(=CCCC2(C)C)C1,134,41199-19-3,"Strong and substantive ambergris note, earthy and animalistic","['earthy', 'animal']"
Aminoacetophenone,CC(=O)c1ccccc1N,136,551-93-9,Foxy smelling component of Concord grapes; tortilla-like,['grape']
Amyl  cinnamate,CCCCCOC(=O)/C=C/c1ccccc1,143,3487-99-8,"Sweet, balsamic, floral, cocoa-like odor and taste","['balsamic', 'cocoa', 'floral', 'sweet']"
Amyl acetate,CCCCCOC(C)=O,144,628-63-7,"Banana, ethereal, fruity","['banana', 'fruity', 'ethereal']"
Amyl alcohol,CCCCCO,145,71-41-0,"Alcoholic-breathtaking, fusel-like odor with a burning taste","['alcoholic', 'solvent']"
Amyl angelate,C/C=C(/C)C(=O)OCCCCC,146,7785-63-9,"Floral, fruity, apple, winey, sweet (like fruity jasmine), chamomille","['apple', 'fruity', 'jasmine', 'chamomile', 'winey', 'floral', 'sweet']"
Amyl benzoate,CCCCCOC(=O)c1ccccc1,147,2049-96-9,Sweet balsamic-fruity odor; balsamic somewhat fuity flavor,"['fruity', 'balsamic', 'floral', 'sweet']"
Amyl decanoate,CCCCCCCCCC(=O)OCCCCC,149,5933-87-9,"Fatty, oily, contrbutes to brandy-rum like only in dilution","['oily', 'fatty', 'brandy', 'rum']"
Amyl dodecanoate,CCCCCCCCCCCC(=O)OCCCCC,150,3/8/5350,"Oily, fatty, very slightly winey odor and slightly fatty-fermented taste","['oily', 'fatty', 'winey']"
Amyl formate,CCCCCOC=O,151,638-49-3,"Sweet, fresh, fruity, green-winey odor and taste","['green', 'fruity', 'fresh', 'winey', 'sweet']"
Amyl furoate,CCCCCOC(=O)c1ccco1,152,1334-82-3,"Sweet, fruity, caramellic, herbaceous, winey, fermented odor & flavor","['caramellic', 'fruity', 'fermented', 'herbal', 'winey', 'sweet']"
Amyl heptanoate,CCCCCCC(=O)OCCCCC,153,7493-82-5,"Ethereal, green, dry-fruity unripe banana & winey notes.","['ethereal', 'green', 'fruity', 'banana', 'winey', 'dry']"
Amyl hexanoate,CCCCCOC(=O)CCCCC,154,540-07-8,"Green fruity waxy odor with apple, pineapple and pear notes","['apple', 'green', 'fruity', 'pear', 'waxy', 'pineapple']"
Amyl isobutyrate,CCCCCOC(=O)C(C)C,155,2445-72-9,"Strong mixed fruit odor; sweet fruity taste, apricot, pineapple, apple","['apple', 'apricot', 'fruity', 'pineapple']"
Amyl isovalerate: Pentyl isovalerate,CCCCCOC(=O)CC(C)C,156,25415-62-7,"Strong fruity odor reminiscent of apple; some banana, chocolate notes","['chocolate', 'fruity', 'apple', 'banana']"
Amyl keto dioxane,CCCCCC1OCCOC1=O,157,65504-96-3,"Fruity, buttery, caramel, winey notes, lactonic, peachy","['caramellic', 'fruity', 'winey', 'peach', 'buttery']"
Amyl lactate,CCCCCOC(=O)C(C)O,158,6/5/6382,"Fruity, slightly caramellic, milky","['fruity', 'milky', 'caramellic']"
Amyl methylbutyrate,CCCCCOC(=O)C(C)CC,159,68039-26-9,Fruity ripe apple-banana odor and apple-banana like taste,"['ripe', 'fruity', 'apple', 'banana']"
Amyl octanoate,CCCCCCCC(=O)OCCCCC,160,638-25-5,"Sweet, oily, fruity with floral-fatty undertone; fruity winey taste","['oily', 'fruity', 'fatty', 'floral', 'sweet']"
Amyl palmitate,CCCCCCCCCCCCCCCC(=O)OCCCCC,161,31148-31-9,Mild fatty-waxy; adds mouthfeel,"['fatty', 'waxy']"
Amyl phenylacetate,CCCCCOC(=O)Cc1ccccc1,162,5137-52-0,"Sweet balsamic, honey-apple fruity like","['apple', 'fruity', 'honey', 'balsamic', 'sweet']"
Amyl propionate,CCCCCOC(=O)CC,163,624-54-4,"Sweet, fruity, banana, apple and pineapple; mixed fruit tropical note","['apple', 'fruity', 'banana', 'tropical', 'pineapple', 'sweet']"
Amyl valerate,CCCCCOC(=O)CCCC,164,2173-56-0,"Fruity ethereal, apple-like odor and taste","['fruity', 'apple', 'ethereal']"
Amyl salicylate,CCCCCOC(=O)c1ccccc1O,165,2050-08-0,"Sweet balsamic, mild herbal floral notes","['balsamic', 'floral', 'sweet', 'herbal']"
Amylcinnamaldehyde dimethyl acetal,CCCCC/C(=C\c1ccccc1)C(OC)OC,166,91-87-2,"Green, mild floral somewhat jasmine-like aroma and taste","['green', 'floral', 'jasmine']"
Amylcinnamaldehyde,CCCCC/C(C=O)=C/c1ccccc1,167,122-40-7,"Floral, reminiscent of gardenia/jasmin; Sweet floral light fruity taste","['floral', 'jasmine']"
Amylcinnamyl acetate,CCCCCC(/C=C/c1ccccc1)OC(C)=O,168,7493-78-9,"Mild, fruity, spicy, balsamic, floral odor & a somewhat fruity taste","['floral', 'fruity', 'spicy', 'balsamic']"
Amylcinnamyl alcohol,CCCCC/C(=C\c1ccccc1)CO,169,101-85-9,"Sweet, waxy-floral, fruity; pear-jasmine like","['fruity', 'pear', 'waxy', 'jasmine', 'floral', 'sweet']"
Amylcinnamyl formate,CCCCC/C(=C/c1ccccc1)COC=O,170,7493-79-0,"Sweet, green-herbaceous-balsamic, floral-buttery notes","['green', 'herbal', 'balsamic', 'floral', 'sweet', 'buttery']"
Amylcinnamyl isovalerate,CCCCC/C(=C/c1ccccc1)COC(=O)CC(C)C,171, 7493-80-3,"Mild herbaceous, floral, spicy, fruity, somewhat tobacco-hay like notes","['spicy', 'hay', 'fruity', 'tobacco', 'herbal', 'floral']"
Anethole,C/C=C/c1ccc(OC)cc1,172,4180-23-8,"Sweet, herbaceous, anise (artificial Licorice) odor & taste","['herbal', 'anisic', 'sweet']"
Angelic acid,C/C=C(/C)C(=O)O,173,565-63-9,"Spicy, caramellic odor; herbaceous somewhat celery like taste","['spicy', 'caramellic']"
Angelica lactone,CC1=CCC(=O)O1,174,591-12-8,"Sweet, bread, molasses, coumarin, tobacco odor; nut-like taste","['tobacco', 'sweet', 'bread', 'coumarinic']"
Anisaldehyde: p-Anisaldehyde,COc1ccc(C=O)cc1,175,123-11-5,"Floral, hay-like odor; sweet anisic-vanilla-fruity herbaceous","['hay', 'vanilla', 'fruity', 'herbal', 'anisic', 'floral', 'sweet']"
Anisic acid,COc1ccc(C(=O)O)cc1,176,100-09-4,"Vanillic, spicy, sweet cherry-heliotropin notes","['spicy', 'cherry', 'sweet']"
Anisole,COc1ccccc1,177,100-66-3,"Sweet, reminiscent of anise & naphthalene in odor & taste","['anisic', 'sweet']"
Anisyl acetate,COc1ccc(COC(C)=O)cc1,178,104-21-2,"Fruity, floral, slightly balsamic, vanilla-coumarin-like with cherry notes","['fruity', 'vanilla', 'balsamic', 'cherry', 'floral', 'coumarinic']"
Anisyl alcohol,COc1ccc(CO)cc1,179,105-13-5,"Sweet, fruity, floral, balsamic anisic-vanilla-creamy-coumarinic like","['creamy', 'fruity', 'vanilla', 'coumarinic', 'anisic', 'balsamic', 'floral', 'sweet']"
Anisyl butyrate,CCCC(=O)OCc1ccc(OC)cc1,180,6963-56-0,"Mild, sweet, floral, fruity, plum-like with some heliotropin-like notes","['fruity', 'plum', 'floral', 'sweet']"
Anisyl formate,COc1ccc(COC=O)cc1,181,122-91-8,"Sweet, spicy,floral-vanilla, green odor; fruity vanillic-berry taste","['spicy', 'green', 'vanilla', 'floral', 'sweet']"
